Podcast,Engaged views,Average percentage viewed (%),Playlist average view duration,Unique viewers,Unique reach,Views (co-viewed),New viewers,Returning viewers,Casual viewers,Regular viewers,Views from playlist,Views,Views per playlist start,Playlist watch time (hours),Watch time (hours),Average view duration
Total,3836,19.96,0:07:20,0,791,274,0,0,0,0,93,7888,1.9375,11.126,312.6892,0:04:52
PUqVoJXKQzsQbYEBMJlIDFJg,3765,20.25,,,775,221,,,,,,7782,,,305.788,0:04:51
PLdRfiPj-q_PdT6y-egrNLZMBjakCnF-YN,3079,19.64,0:07:20,,591,268,,,,,93,6379,1.9375,11.126,301.5365,0:05:51
