Geo,Percentage
United States,94.45407279029463
Spain,1.4731369150779896
United Kingdom,0.6932409012131715
Canada,0.47660311958405543
Cayman Islands,0.389948006932409
Austria,0.34662045060658575
France,0.30329289428076256
Netherlands,0.25996533795493937
India,0.21663778162911612
Mexico,0.21663778162911612
Sweden,0.17331022530329288
Saudi Arabia,0.12998266897746968
Australia,0.12998266897746968
Germany,0.08665511265164644
Italy,0.08665511265164644
Norway,0.04332755632582322
Belgium,0.04332755632582322
Portugal,0.04332755632582322
Brazil,0.04332755632582322
Singapore,0.04332755632582322
Ireland,0.04332755632582322
El Salvador,0.04332755632582322
South Africa,0.04332755632582322
Greece,0.04332755632582322
Peru,0.04332755632582322
Nigeria,0.04332755632582322
Zimbabwe,0.04332755632582322
Bosnia and Herzegovina,0.04332755632582322
