Geography,Views,Average view duration,Watch time (hours)
Total,7888,0:04:52,312.6892
US,4793,0:03:31,132.2221
CA,318,0:00:17,0.645
GB,180,0:00:21,0.5128
AU,82,0:00:10,0.1053
DE,18,0:00:54,0.1534
NZ,0,,0
MY,0,,0
IE,0,,0
