Date,Plays,Confirmed reach by plays
2026-09-04,16,12
2026-09-10,38,17
2026-08-13,19,9
2026-08-14,32,20
2026-09-08,17,8
2026-09-05,10,8
2026-09-09,27,12
2026-08-15,7,5
2026-08-31,2,2
2026-08-17,9,5
2026-09-06,7,6
2026-09-11,12,7
2026-09-07,7,6
2026-08-28,1,1
2026-08-16,6,5
2026-08-18,10,5
2026-08-29,3,3
2026-08-26,0,0
2026-08-24,6,4
2026-08-21,7,2
2026-09-02,4,2
2026-09-03,8,4
2026-08-25,1,1
2026-08-20,11,5
2026-08-30,1,1
2026-08-27,2,2
2026-09-01,1,1
2026-08-12,6,3
2026-08-19,5,5
2026-08-22,2,2
2026-08-23,2,2
