Device type,Watch time (hours),Views,Average percentage viewed (%)
Total,312.6892,7888,19.96
Mobile phone,180.851,5190,20.22
Computer,100.2219,1745,18.36
TV,19.0488,488,26.05
Tablet,12.5508,462,23.83
