Age,Total percentage,Male percentage,Female percentage,Non-binary percentage,Not specified percentage
0-17,0,0,0,0,0
18-22,0.5603448275862069,0.3017241379310345,0.25862068965517243,0,0
23-27,5.775862068965517,2.413793103448276,3.362068965517241,0,0
28-34,14.913793103448278,7.801724137931035,6.594827586206897,0,0.5172413793103449
35-44,38.44827586206897,15.129310344827587,21.594827586206897,0.04310344827586207,1.6810344827586206
45-59,33.01724137931034,14.870689655172415,17.586206896551722,0,0.5603448275862069
60+,6.767241379310345,2.586206896551724,4.181034482758621,0,0
Unknown,0.5172413793103449,0,0,0,0.5172413793103449
